iteration,n_workers,p_version,completion_time,frames_num,frames_motion_num
1,1,0,83705875,251,160
1,1,1,82774722,251,160
1,1,2,83707478,251,160
1,1,3,81493815,251,160
1,2,1,41695613,251,160
1,2,2,42513070,251,160
1,2,3,42286288,251,160
1,3,1,28149888,251,160
1,3,2,53716545,251,160
1,3,3,52044856,251,160
1,4,1,21404502,251,160
1,4,2,41294208,251,160
1,4,3,39091087,251,160
1,5,1,21009486,251,160
1,5,2,32923654,251,160
1,5,3,31500206,251,160
1,6,1,14473347,251,160
1,6,2,27767163,251,160
1,6,3,26465855,251,160
1,7,1,14763039,251,160
1,7,2,23872148,251,160
1,7,3,22830682,251,160
1,8,1,12558778,251,160
1,8,2,20894523,251,160
1,8,3,19967370,251,160
1,9,1,13757666,251,160
1,9,2,18788721,251,160
1,9,3,17970966,251,160
1,10,1,12354434,251,160
1,10,2,16819052,251,160
1,10,3,16241910,251,160
1,11,1,11596992,251,160
1,11,2,15499166,251,160
1,11,3,14893331,251,160
1,12,1,9286318,251,160
1,12,2,14207840,251,160
1,12,3,13939058,251,160
1,13,1,9068353,251,160
1,13,2,13554150,251,160
1,13,3,12991472,251,160
1,14,1,9549802,251,160
1,14,2,12519314,251,160
1,14,3,12024254,251,160
1,15,1,8850594,251,160
1,15,2,11651898,251,160
1,15,3,11484957,251,160
1,16,1,8907534,251,160
1,16,2,11324352,251,160
1,16,3,10766525,251,160
1,17,1,8615878,251,160
1,17,2,10442990,251,160
1,17,3,10856982,251,160
1,18,1,9134065,251,160
1,18,2,9918933,251,160
1,18,3,10440256,251,160
1,19,1,8728899,251,160
1,19,2,9875619,251,160
1,19,3,10456838,251,160
1,20,1,8487867,251,160
1,20,2,9151722,251,160
1,20,3,10582270,251,160
1,21,1,8325454,251,160
1,21,2,8747738,251,160
1,21,3,10515043,251,160
1,22,1,8008401,251,160
1,22,2,8639436,251,160
1,22,3,11006791,251,160
1,23,1,8324090,251,160
1,23,2,9232505,251,160
1,23,3,12467957,251,160
1,24,1,7977835,251,160
1,24,2,9125753,251,160
1,24,3,12946679,251,160
1,25,1,8237223,251,160
1,25,2,8811749,251,160
1,25,3,11876848,251,160
1,26,1,7988419,251,160
1,26,2,8801625,251,160
1,26,3,10869581,251,160
1,27,1,8195942,251,160
1,27,2,9332338,251,160
1,27,3,13859710,251,160
1,28,1,8547903,251,160
1,28,2,9087564,251,160
1,28,3,12572005,251,160
1,29,1,8228025,251,160
1,29,2,8577190,251,160
1,29,3,12222187,251,160
1,30,1,8192812,251,160
1,30,2,8925147,251,160
1,30,3,11836772,251,160
1,31,1,8270513,251,160
1,31,2,9346537,251,160
1,31,3,17569408,251,160
1,32,1,8726303,251,160
1,32,2,10205192,251,160
1,32,3,20593033,251,160
2,1,0,94342082,251,160
2,1,1,83480308,251,160
2,1,2,83877089,251,160
2,1,3,80709110,251,160
2,2,1,41568480,251,160
2,2,2,42529282,251,160
2,2,3,44832233,251,160
2,3,1,28187990,251,160
2,3,2,53952506,251,160
2,3,3,51722692,251,160
2,4,1,22714287,251,160
2,4,2,41148916,251,160
2,4,3,39090510,251,160
2,5,1,20863651,251,160
2,5,2,32942806,251,160
2,5,3,31456141,251,160
2,6,1,16144103,251,160
2,6,2,27785838,251,160
2,6,3,26452992,251,160
2,7,1,13187228,251,160
2,7,2,23854586,251,160
2,7,3,22838849,251,160
2,8,1,11673862,251,160
2,8,2,20723061,251,160
2,8,3,19932322,251,160
2,9,1,12857686,251,160
2,9,2,18721465,251,160
2,9,3,18045225,251,160
2,10,1,9775913,251,160
2,10,2,16829777,251,160
2,10,3,16204801,251,160
2,11,1,10012386,251,160
2,11,2,15521897,251,160
2,11,3,14950546,251,160
2,12,1,10953475,251,160
2,12,2,14255023,251,160
2,12,3,13732273,251,160
2,13,1,8763229,251,160
2,13,2,13523345,251,160
2,13,3,12961305,251,160
2,14,1,10073436,251,160
2,14,2,12325798,251,160
2,14,3,12008698,251,160
2,15,1,8405522,251,160
2,15,2,11622130,251,160
2,15,3,11268989,251,160
2,16,1,8888297,251,160
2,16,2,10939205,251,160
2,16,3,10645738,251,160
2,17,1,8388995,251,160
2,17,2,10341711,251,160
2,17,3,10165055,251,160
2,18,1,7683662,251,160
2,18,2,9732435,251,160
2,18,3,10163433,251,160
2,19,1,7152205,251,160
2,19,2,9618981,251,160
2,19,3,10281286,251,160
2,20,1,7279256,251,160
2,20,2,9030331,251,160
2,20,3,10226703,251,160
2,21,1,6803127,251,160
2,21,2,8503086,251,160
2,21,3,10246954,251,160
2,22,1,6465896,251,160
2,22,2,8365302,251,160
2,22,3,10181845,251,160
2,23,1,7134457,251,160
2,23,2,7867783,251,160
2,23,3,10424428,251,160
2,24,1,6246465,251,160
2,24,2,7770845,251,160
2,24,3,10236986,251,160
2,25,1,6386972,251,160
2,25,2,7283636,251,160
2,25,3,10197425,251,160
2,26,1,6516097,251,160
2,26,2,7277570,251,160
2,26,3,10201075,251,160
2,27,1,6500088,251,160
2,27,2,7115901,251,160
2,27,3,10341595,251,160
2,28,1,6453880,251,160
2,28,2,6909012,251,160
2,28,3,10461697,251,160
2,29,1,6212963,251,160
2,29,2,6856882,251,160
2,29,3,10323261,251,160
2,30,1,6445953,251,160
2,30,2,7653433,251,160
2,30,3,10748839,251,160
2,31,1,6522526,251,160
2,31,2,6499755,251,160
2,31,3,11033556,251,160
2,32,1,6312557,251,160
2,32,2,10433739,251,160
2,32,3,20530030,251,160
3,1,0,84556296,251,160
3,1,1,82546884,251,160
3,1,2,83442115,251,160
3,1,3,80424036,251,160
3,2,1,48615873,251,160
3,2,2,42595407,251,160
3,2,3,42141502,251,160
3,3,1,28269040,251,160
3,3,2,54346930,251,160
3,3,3,51718335,251,160
3,4,1,21318394,251,160
3,4,2,41012258,251,160
3,4,3,39033620,251,160
3,5,1,20489655,251,160
3,5,2,33031838,251,160
3,5,3,31461047,251,160
3,6,1,14494257,251,160
3,6,2,27848919,251,160
3,6,3,26513094,251,160
3,7,1,17025954,251,160
3,7,2,23839479,251,160
3,7,3,22891871,251,160
3,8,1,14373559,251,160
3,8,2,20858499,251,160
3,8,3,20086128,251,160
3,9,1,11445609,251,160
3,9,2,18653907,251,160
3,9,3,17972875,251,160
3,10,1,12418108,251,160
3,10,2,16782044,251,160
3,10,3,16230866,251,160
3,11,1,9109997,251,160
3,11,2,15539016,251,160
3,11,3,14961544,251,160
3,12,1,9552010,251,160
3,12,2,14197008,251,160
3,12,3,13742563,251,160
3,13,1,9594337,251,160
3,13,2,13446733,251,160
3,13,3,12911272,251,160
3,14,1,8674100,251,160
3,14,2,12301664,251,160
3,14,3,11963030,251,160
3,15,1,9005154,251,160
3,15,2,11583492,251,160
3,15,3,11297485,251,160
3,16,1,7986338,251,160
3,16,2,10972199,251,160
3,16,3,10726024,251,160
3,17,1,7717857,251,160
3,17,2,10335890,251,160
3,17,3,10178922,251,160
3,18,1,7014665,251,160
3,18,2,9702699,251,160
3,18,3,10244099,251,160
3,19,1,7036945,251,160
3,19,2,9569740,251,160
3,19,3,10273524,251,160
3,20,1,9421432,251,160
3,20,2,9027958,251,160
3,20,3,10192567,251,160
3,21,1,7223038,251,160
3,21,2,8830147,251,160
3,21,3,10178900,251,160
3,22,1,6778274,251,160
3,22,2,8386288,251,160
3,22,3,10218980,251,160
3,23,1,6632119,251,160
3,23,2,7977121,251,160
3,23,3,10222343,251,160
3,24,1,6408291,251,160
3,24,2,7719405,251,160
3,24,3,10325248,251,160
3,25,1,6572151,251,160
3,25,2,7331520,251,160
3,25,3,10295512,251,160
3,26,1,6594306,251,160
3,26,2,7168845,251,160
3,26,3,10310046,251,160
3,27,1,6198367,251,160
3,27,2,7244500,251,160
3,27,3,10240692,251,160
3,28,1,6365450,251,160
3,28,2,6686546,251,160
3,28,3,10114666,251,160
3,29,1,6156795,251,160
3,29,2,6506318,251,160
3,29,3,10185665,251,160
3,30,1,6199210,251,160
3,30,2,6509862,251,160
3,30,3,10453241,251,160
3,31,1,6152034,251,160
3,31,2,6177183,251,160
3,31,3,10396016,251,160
3,32,1,6112229,251,160
3,32,2,6506670,251,160
3,32,3,19485449,251,160
4,1,0,83653561,251,160
4,1,1,83006242,251,160
4,1,2,83248041,251,160
4,1,3,80852927,251,160
