iteration,n_workers,p_version,completion_time,frames_num,frames_motion_num
1,1,0,83268667,251,160
1,1,1,82409166,251,160
1,1,2,163096483,251,160
1,1,3,153164577,251,160
1,2,1,41480267,251,160
1,2,2,54845395,251,160
1,2,3,50988630,251,160
1,3,1,28297442,251,160
1,3,2,54521903,251,160
1,3,3,51344161,251,160
1,4,1,21379780,251,160
1,4,2,33556244,251,160
1,4,3,31486376,251,160
1,5,1,21108569,251,160
1,5,2,32963838,251,160
1,5,3,31275452,251,160
1,6,1,16119470,251,160
1,6,2,23837683,251,160
1,6,3,22534528,251,160
1,7,1,16000363,251,160
1,7,2,23850987,251,160
1,7,3,22685002,251,160
1,8,1,12761003,251,160
1,8,2,18777690,251,160
1,8,3,17849474,251,160
1,9,1,11773919,251,160
1,9,2,18673681,251,160
1,9,3,17810176,251,160
1,10,1,13537366,251,160
1,10,2,15544722,251,160
1,10,3,14813469,251,160
1,11,1,10938557,251,160
1,11,2,15427498,251,160
1,11,3,14793212,251,160
1,12,1,11626691,251,160
1,12,2,13515321,251,160
1,12,3,12986917,251,160
1,13,1,9381509,251,160
1,13,2,13121403,251,160
1,13,3,12639410,251,160
1,14,1,9004212,251,160
1,14,2,11585687,251,160
1,14,3,11353934,251,160
1,15,1,8357057,251,160
1,15,2,11656997,251,160
1,15,3,11259409,251,160
1,16,1,7739940,251,160
1,16,2,10346909,251,160
1,16,3,10649915,251,160
1,17,1,8080338,251,160
1,17,2,10331334,251,160
1,17,3,10346919,251,160
1,18,1,7346179,251,160
1,18,2,9583898,251,160
1,18,3,10189240,251,160
1,19,1,6856890,251,160
1,19,2,9343518,251,160
1,19,3,10204912,251,160
1,20,1,6824790,251,160
1,20,2,8509234,251,160
1,20,3,10251031,251,160
1,21,1,7429417,251,160
1,21,2,8472619,251,160
1,21,3,10218374,251,160
1,22,1,6700674,251,160
1,22,2,7820357,251,160
1,22,3,10180642,251,160
1,23,1,6761784,251,160
1,23,2,7994042,251,160
1,23,3,10342558,251,160
1,24,1,6652919,251,160
1,24,2,7697594,251,160
1,24,3,10200474,251,160
1,25,1,6231708,251,160
1,25,2,7286975,251,160
1,25,3,10258118,251,160
1,26,1,6532355,251,160
1,26,2,7088560,251,160
1,26,3,10168620,251,160
1,27,1,6420760,251,160
1,27,2,7028877,251,160
1,27,3,10229440,251,160
1,28,1,6347133,251,160
1,28,2,6596982,251,160
1,28,3,10403205,251,160
1,29,1,6285431,251,160
1,29,2,6649483,251,160
1,29,3,10413770,251,160
1,30,1,6253207,251,160
1,30,2,6343189,251,160
1,30,3,10328324,251,160
1,31,1,6077728,251,160
1,31,2,6229470,251,160
1,31,3,10453740,251,160
1,32,1,6118752,251,160
1,32,2,6420494,251,160
1,32,3,19556654,251,160
2,1,0,84551405,251,160
2,1,1,84273405,251,160
2,1,2,163179092,251,160
2,1,3,153676493,251,160
2,2,1,41884542,251,160
2,2,2,54813952,251,160
2,2,3,50910365,251,160
2,3,1,32320831,251,160
2,3,2,54882464,251,160
2,3,3,51453529,251,160
2,4,1,21810547,251,160
2,4,2,34479563,251,160
2,4,3,31316167,251,160
2,5,1,21226701,251,160
2,5,2,33123586,251,160
2,5,3,31486908,251,160
