video_name,frames_number,kernel_size,percentage_treshold,stage1,stage2,stage3,stage4,completion_time
owl.mp4,251,3,95,5026,22462,74486,557,25892783
owl.mp4,251,7,95,5252,22527,303083,579,83351122
owl.mp4,251,3,95,5132,22634,74662,562,25995764
owl.mp4,251,7,95,5128,22492,303138,567,83313011
owl.mp4,251,3,95,5037,22585,74875,560,26019143
owl.mp4,251,7,95,5183,22606,303637,583,83500649
owl.mp4,251,3,95,5126,22667,75067,559,26103506
owl.mp4,251,7,95,5341,22663,303757,584,83568447
owl.mp4,251,3,95,5186,22697,75429,569,26227662
owl.mp4,251,7,95,5203,22641,304433,574,83692539
owl.mp4,251,3,95,5032,22569,74586,566,25941167
owl.mp4,251,7,95,5251,22641,304548,578,83735727
owl.mp4,251,3,95,5208,22666,74956,559,26101506
owl.mp4,251,7,95,5284,22733,304895,580,83852942
owl.mp4,251,3,95,5179,22918,76267,572,26489511
owl.mp4,251,7,95,5187,22446,302541,577,83177535
owl.mp4,251,3,95,5321,22598,74960,562,26115286
owl.mp4,251,7,95,5147,22663,303489,580,83454983
owl.mp4,251,3,95,5159,22471,74515,556,25931792
owl.mp4,251,7,95,5190,22500,302933,583,83275983
